gene_id	ID	log2FC	AveExpr	t_stat	P.Value	adj.P.Val	B_stat
3253	ATP5E	0.2665331596008844	8.53049183146918	4.6192868135207705	2.9796174378175105e-4	4.6424455389893594e-4	-2.2773659064042917
7868	EMD	-0.21917893887850948	6.045293206912831	-4.619125163882348	2.980597519788017e-4	4.6435624729865944e-4	-2.2777025387488017
14117	SPDL1	0.3896180554604989	4.353916390022512	4.617433587628025	2.99087336706954e-4	4.659160083164753e-4	-2.2812253222201146
6401	NT5C1A	-0.3043689405837024	0.15218447029185123	-4.617177454151692	2.9924324639950934e-4	4.661177249673445e-4	-2.28175874879026
11039	KCTD9	-0.2273386618589699	4.455054497164988	-4.616861583166422	2.9943563318012267e-4	4.6634462350799485e-4	-2.2824165915858368
12878	LY6H	-0.19178364149149793	0.09589182074574898	-4.6168514932636695	2.994417806993859e-4	4.6634462350799485e-4	-2.2824376052456348
2357	CCDC59	-0.3449054679239163	4.769757711480805	-4.615492441157524	3.0027099818348487e-4	4.675947524011863e-4	-2.2852680885626846
10699	ADAM22	-0.21556460872020056	1.6422927027860919	-4.613133563086144	3.017158385354532e-4	4.6980325008318314e-4	-2.29018119858943
13979	TMEM258	0.5337523758112894	7.35528274239652	4.611352614310749	3.028114038986315e-4	4.7146754810516785e-4	-2.2938908395157913
1622	FAM127A	0.2987191859319358	4.63392201479525	4.610347201742899	3.034316892266829e-4	4.7239162207352096e-4	-2.2959851667315805
11987	AP3B1	-0.2570381958323429	4.983303371707986	-4.610237035635658	3.034997347893278e-4	4.7245586527427166e-4	-2.296214652702443
9996	CCDC149	-0.17894724523247052	1.6522386550620638	-4.607690483937967	3.050770073643699e-4	4.748692927406224e-4	-2.3015195801166772
17333	MAP2K7	0.306105754257878	4.20422041232361	4.607246954539908	3.05352575486598e-4	4.752562979033579e-4	-2.3024435769977716
7776	SART3	0.20451832580704288	4.83548921012167	4.606587395143639	3.0576283587558994e-4	4.758528537859172e-4	-2.3038176499649747
13558	LOC283710	-0.2371207961342987	0.15636537707804798	-4.605478090659312	3.064541204185136e-4	4.7688661836671226e-4	-2.3061287520662725
12246	ZDHHC4	-0.13323178259994606	5.171309059944911	-4.60444874252677	3.070970094678308e-4	4.778448968981717e-4	-2.308273349178422
3861	TRIM68	-0.20923657228532777	2.828190477371357	-4.604370896687822	3.071456849268403e-4	4.7787848782779047e-4	-2.3084355401350134
6239	NFIA	-0.2838175587973355	2.9679004858047393	-4.603524683854861	3.076753147668899e-4	4.786603089168846e-4	-2.3101986417385056
1502	PCED1A	-0.3701846642915534	4.830387421364806	-4.603117357459141	3.0793058641152935e-4	4.7901520196386567e-4	-2.311047331772328
2178	TINF2	0.14172342679696248	4.061926595479	4.602629939177797	3.082363365915642e-4	4.794485496515937e-4	-2.312062912964178
6733	VPS8	-0.31358563736662726	3.2804806688496213	-4.600167969842682	3.0978544808446523e-4	4.818156462228807e-4	-2.3171928988697683
7279	CAPRIN2	-0.2258066156185956	3.022504078487574	-4.599534966909508	3.101850300883168e-4	4.8239459633445743e-4	-2.3185119479101353
1342	C16orf59	0.36615359891839194	3.4994155675948764	4.597311358279186	3.115928649584358e-4	4.845413242482789e-4	-2.3231457080018876
14314	TMPRSS9	-0.2486264437663147	0.8755971916881613	-4.5967579231197835	3.119442769653663e-4	4.850450321014448e-4	-2.32429905856145
784	ATG101	-0.4847659191314708	4.988566699933584	-4.596636929812341	3.120211575047008e-4	4.851218172819187e-4	-2.3245512095277405
