gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
KCTD18	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.38191564332233563	0.049554909248154526	7.706918428804479	1.2889212614442922e-14	0.28478980593880193	0.4790414807058693	0.0014759239502220222	1.7958921366270546	0.4074055842195144	12.005262971527014	0.3926485508064733	0.038436855665793655	10.215418093002478	1.691483612337558e-24	NA	NA	NA	NA	8.250769996959631e-13	UP	1.2889212614442922e-14	3	3	0	1
DPY30	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.427133201549726	0.05550143360282358	-7.6958949314058085	1.4050723546085e-14	-0.5359140125016013	-0.3183523905978507	0.004221615984933856	3.5022338342996373	0.17357996070430787	44.04927576742282	-0.4428233858396942	0.034721371068919885	-12.753626144564274	2.9757475975127293e-37	NA	NA	NA	NA	8.955519356722366e-13	DOWN	1.4050723546085e-14	3	0	3	1
ST3GAL3	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.3434717977395214	0.04523750046555658	7.592634301292524	3.1346630875979145e-14	0.2548079260764166	0.4321356694026262	0	1.1404381729876094	0.565401553285321	0	0.3434717977395214	0.04523750046555658	7.592634301292524	3.1346630875979145e-14	NA	NA	NA	NA	1.9724367266515046e-12	UP	3.1346630875979145e-14	3	3	0	1
CHST12	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.5384771809842234	0.07107195071616185	7.5765076877476645	3.549806787258641e-14	0.39917871726954046	0.6777756446989063	4.016256817352894e-6	2.851099831133038	0.2403762402196163	0.015166918116009407	0.5384780236637112	0.07105447083356425	7.578383419743215	3.498870955439842e-14	NA	NA	NA	NA	2.214809829670613e-12	UP	3.549806787258641e-14	3	3	0	1
KIAA0753	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.32937911629666955	0.043582473640517705	7.557604899012725	4.105588934292672e-14	0.2439590376040886	0.4147991949892505	0	0.05186924890661845	0.9743987893800735	0	0.32937911629666955	0.043582473640517705	7.557604899012725	4.105588934292672e-14	NA	NA	NA	NA	2.5401398983843406e-12	UP	4.105588934292672e-14	3	3	0	1
SLC22A5	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.4536439687611931	0.060446299798407224	7.504908824429759	6.147137146795933e-14	0.3351713981576042	0.572116539364782	0.004490567532088943	2.641583516604667	0.26692387908162923	35.53455610728679	0.4860274482164955	0.032647062285374756	14.887325664037657	3.9838878203782004e-50	NA	NA	NA	NA	3.787404874569644e-12	UP	6.147137146795933e-14	3	3	0	1
HERC1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.23394345932712549	0.031435203547566445	7.442085080604996	9.910835419241706e-14	0.17233159252720953	0.29555532612704144	0	1.776219201449095	0.41143279031402824	0	0.23394345932712549	0.031435203547566445	7.442085080604996	9.910835419241706e-14	NA	NA	NA	NA	6.030926886597824e-12	UP	9.910835419241706e-14	3	3	0	1
LRWD1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.42640152615569593	0.05735779567766769	7.4340640381637915	1.0531094580257619e-13	0.3139823123948601	0.5388207399165318	1.805903578769994e-6	1.8855892687128435	0.38953769736729166	0.010900809387592301	0.42640226477422305	0.05734830399030552	7.435307325676178	1.0432512752550624e-13	NA	NA	NA	NA	6.382102276978254e-12	UP	1.0531094580257619e-13	3	3	0	1
TTC21A	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.37788390096446756	0.05108824023187713	-7.39669049568637	1.3962045830896768e-13	-0.47801501185247697	-0.27775279007645814	0	1.4756731130089187	0.47814724188676344	0	-0.37788390096446756	0.05108824023187713	-7.39669049568637	1.3962045830896768e-13	NA	NA	NA	NA	8.392551695181729e-12	DOWN	1.3962045830896768e-13	3	0	3	1
ME2	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.374966883647625	0.05082306701095084	-7.377887752559895	1.6082045999062834e-13	-0.4745782645729544	-0.2753555027222956	5.709524869773165e-5	2.625491576722963	0.2690802038182886	0.6372712024026898	-0.37505048592408835	0.05058411625696254	-7.414392376034945	1.2218368242284052e-13	NA	NA	NA	NA	9.588919926941215e-12	DOWN	1.6082045999062834e-13	3	0	3	1
FAM20A	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.22149348212384878	0.030168037403317097	-7.341991763093435	2.1043834978378465e-13	-0.2806217489186075	-0.16236521532909004	8.874422627071597e-7	1.0434386356687368	0.5934992564031562	0.005864239851725986	-0.221499779073247	0.03015509468091735	-7.345351802639697	2.052185983737224e-13	NA	NA	NA	NA	1.249699549499126e-11	DOWN	2.1043834978378465e-13	3	0	3	1
GNB5	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.3183759965668952	0.04337661826664639	7.339806773542423	2.1390244090901363e-13	0.23335938699312603	0.40339260614066436	9.992020062733408e-4	2.750475937334948	0.252779435061518	8.472468353421569	0.3106777558013022	0.033880040772319424	9.169934531340093	4.7330640326236985e-20	NA	NA	NA	NA	1.2651901574886338e-11	UP	2.1390244090901363e-13	3	3	0	1
ZMYND19	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.6205821007819371	0.08465078872541132	7.3310846848098485	2.2829733935737977e-13	0.45466960361722164	0.7864945979466526	0.009414028456639719	3.297623330749366	0.19227826383128646	43.94021210789503	0.6320796615479373	0.0584381962552946	10.816207584276178	2.8846825896832433e-27	NA	NA	NA	NA	1.3449532896723405e-11	UP	2.2829733935737977e-13	3	3	0	1
FLYWCH1	3	A2780,PEO1,UWB_BRCAdef	FALSE	0.5595879667296533	0.07639184959482379	7.325231287076603	2.3848704099846405e-13	0.409862692811398	0.7093132406479086	0.0019612069446137983	1.3903880248744416	0.49897763072730755	9.59567206183017	0.5592515475389631	0.07018045305097997	7.968765136536176	1.6026771278339745e-15	NA	NA	NA	NA	1.3994078870017017e-11	UP	2.3848704099846405e-13	3	3	0	1
OSBPL9	3	A2780,PEO1,UWB_BRCAdef	FALSE	-0.30937717591274017	0.042610063146723054	-7.260659878569857	3.852064391520715e-13	-0.3928913650592948	-0.22586298676618555	0	0.18584180222753854	0.9112655775377319	0	-0.30937717591274017	0.042610063146723054	-7.260659878569857	3.852064391520715e-13	NA	NA	NA	NA	2.2337441630359532e-11	DOWN	3.852064391520715e-13	3	0	3	1
