gene_symbol	log2FC_A2780	SE_A2780	pval_A2780	padj_A2780	log2FC_PEO1	SE_PEO1	pval_PEO1	padj_PEO1	log2FC_UWB_BRCAdef	SE_UWB_BRCAdef	pval_UWB_BRCAdef	padj_UWB_BRCAdef
RBM12B-AS1	NA	NA	NA	NA	-0.2784860759433916	0.0832736572440747	0.01418167600546316	0.04926631094406016	0.07829841572750172	0.32341062450850927	0.7726986080388981	0.8412240810339315
RBM14	0.7050520233218447	0.034514633644663256	9.903135346189768e-13	4.068726450337212e-12	-0.00894991484011775	0.056723966835010096	0.8795095996446269	0.9251115063257432	0.2783323934205432	0.17846024405340524	0.10081630989639198	0.17000397355077865
RBM14-RBM4	NA	NA	NA	NA	0.26094472070337105	0.06370269479377381	0.0056090603406870904	0.02631957257913229	NA	NA	NA	NA
RBM15	0.8889658500676298	0.0332198191239489	1.5984831720624825e-14	8.921366694567011e-14	0.02158301072377932	0.08852752213922102	0.8150427632602638	0.8826083187002466	0.20736319266136397	0.14906059326919752	0.14979868951170977	0.23585646194922855
RBM15-AS1	NA	NA	NA	NA	NA	NA	NA	NA	0.4036898533681707	0.6368341639209122	0.1713236481402908	0.262434697660191
RBM15B	0.1775271711102775	0.06201967343574512	0.01145113202259483	0.01563145087763989	0.15167106625534732	0.06288326644993149	0.05003144475273835	0.12066217115217837	0.7326954247486447	0.14954221885347685	4.048707194824178e-7	2.5057479246100443e-6
RBM17	-0.9099973179189838	0.035144945145734914	2.6526675556145342e-14	1.424607641283154e-13	0.305621342280852	0.0987835146254138	0.01967877254936982	0.06194892534991373	-0.4318143295255176	0.09943847966538752	9.911415841846531e-6	4.654469869684426e-5
RBM18	0.5763077274116908	0.05314979010925845	1.0708635881374271e-8	2.5338218108798942e-8	0.05686109428242725	0.11185463131192477	0.6283177675576075	0.74574026926889	-0.24162668449956295	0.1396497484803174	0.07399286899005773	0.1306023651971003
RBM19	0.11677810113935916	0.043850929020790595	0.01721274538156597	0.02309081089054725	0.5086178831965187	0.11029217222908506	0.00312103931367063	0.01805495654780992	0.2801162015173756	0.1157251157139526	0.01345431197174522	0.02992991628507052
RBM20	-2.977294131168473	0.030414940864060342	2.662872262861261e-23	1.5105592431317803e-21	-0.1224274913234534	0.0600313303462011	0.08474081841687395	0.17753124172616036	0.14788797000306692	0.4638418253780607	0.6109427999801923	0.7109119548948011
RBM22	0.36151033604477334	0.04833842499496087	1.4771503732949346e-6	2.8084801040703996e-6	0.011819579164829	0.08230777817904833	0.8902468330094032	0.9318757335714666	0.7914857835171845	0.10832969535664112	1.0636292181912461e-13	1.833471863780769e-12
RBM23	0.5347709637595326	0.029996032002857696	7.718843099749086e-12	2.7476963269930062e-11	0.04400034002710562	0.10745881152542537	0.6956039171814518	0.7977006211548584	-0.454122493818558	0.10628512387254048	1.3296977116419188e-5	6.10693326954792e-5
RBM24	-3.7435743915983553	0.023057564639317338	9.524851362274243e-27	2.1270560472562304e-24	0.44383905104901455	0.2056380622199847	0.07157162963745224	0.15696768538730896	-0.13987433652540995	0.4961863595744058	0.6060977762941159	0.7071140723431353
