gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
ANKLE1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.248489630784173	0.3914253691338927	-3.189598143693924	0.00142470753614803	-2.015669256921899	-0.48131000464644735	0.5845673603169937	264.40648358746256	5.0069242236446944e-57	98.63771143927192	-1.2593059239258773	0.0328723733084655	-38.30894447775004	0	NA	NA	NA	NA	0.025594060077732444	DOWN	0.00142470753614803	4	0	4	1
SERPINE3	2	A2780,PEO1	FALSE	-0.10452484121019356	0.03279394896308125	-3.1873209697272342	0.00143597324976816	-0.16879980008867743	-0.04024988233170967	0	0.5669171500608363	0.4514865659703878	0	-0.10452484121019356	0.03279394896308125	-3.1873209697272342	0.00143597324976816	NA	NA	NA	NA	0.025748379579642572	DOWN	0.00143597324976816	2	0	2	1
SSB	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.2899146407822537	0.0909602007650914	-3.187269139070731	0.00143623062133962	-0.4681933583083655	-0.11163592325614193	0.01932859255281038	8.299118227775503	0.04021788566618459	64.90903222096058	-0.28548840091661654	0.04866880867453306	-5.86594183609027	4.465903395209321e-9	NA	NA	NA	NA	0.025748379579642572	DOWN	0.00143623062133962	4	0	4	1
CD55	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.3913782520223612	0.4365820598967641	-3.186979905567746	0.00143766762714868	-2.2470633657163273	-0.535693138328395	0.7448793361480225	151.75496024203642	1.1019823577333635e-32	98.35400381360289	-1.9151257230966496	0.041416926469865147	-46.240170054388024	0	NA	NA	NA	NA	0.025748379579642572	DOWN	0.00143766762714868	4	0	4	1
MAPKAPK5-AS1	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.29675412527947087	0.0931305221968106	-3.1864325280206973	0.00144039080434059	-0.4792865946466277	-0.11422165591231404	0	0.8173906872023986	0.36594417374882454	0	-0.29675412527947087	0.0931305221968106	-3.1864325280206973	0.00144039080434059	NA	NA	NA	NA	0.025771040737174702	DOWN	0.00144039080434059	2	0	2	1
CYCS	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.36124169386655847	0.11347858444395968	-3.183346845897203	0.00145583107597586	-0.5836556323933066	-0.1388277553398103	0.04207074745344501	24.012008350381247	2.483619179829925e-5	86.24863185450725	-0.5209087127707861	0.03079776803165087	-16.913846231825893	3.557148772063201e-64	NA	NA	NA	NA	0.026020956450986125	DOWN	0.00145583107597586	4	0	4	1
SLC5A2	2	A2780,PEO1	FALSE	-0.6048290140355974	0.19061626729645537	-3.1730188751148876	0.00150862716155803	-0.97843003280411	-0.23122799526708487	0.04956144701468731	2.3921242279911628	0.12194782152300676	58.19615100676556	-0.4947999549872116	0.05345551366859527	-9.25629408511143	2.1165080968246375e-20	NA	NA	NA	NA	0.02682897619201338	DOWN	0.00150862716155803	2	0	2	1
FBXO27	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.0671559770406391	0.3365204057761462	-3.1711478968990443	0.00151837816452751	-1.7267238524246904	-0.4075881016565879	0.4358699582137669	189.1803986058278	9.176018124596587e-41	97.24089770257144	-1.5260227458943116	0.04449627020982486	-34.29552047167681	9.151678203015209e-258	NA	NA	NA	NA	0.026975247049600797	DOWN	0.00151837816452751	4	0	4	1
PRKAB2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.7031340836791333	0.22186048568013456	-3.1692623475677	0.0015282638145151	-1.1379726452047614	-0.2682955221535052	0.17815050062724255	23.951728794958708	2.5566388826173386e-5	95.10582499267122	-0.9216381850776092	0.03455944432743205	-26.66820034331529	1.1009300715061865e-156	NA	NA	NA	NA	0.027123613904802633	DOWN	0.0015282638145151	4	1	3	0.75
LAMA4	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.1222081792282772	0.3541816944114133	-3.1684533586445984	0.00153252336686337	-1.8163915442580183	-0.4280248141985359	0.47673202200842	158.4160347891326	4.0267135516727e-34	96.55169169947791	-0.3516729622556364	0.038263320751356	-9.19086360906544	3.8969994308634904e-20	NA	NA	NA	NA	0.02717193135009407	DOWN	0.00153252336686337	4	0	4	1
SMIM26	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.4852376520082742	0.1532002339050659	-3.1673427620806573	0.00153838877839034	-0.7855045928853154	-0.18497071113123295	0.03263733352548156	3.2817980627686145	0.07005214328978335	69.52889907076207	-0.48487615387930305	0.08456705998678456	-5.733629074430109	9.830419183707944e-9	NA	NA	NA	NA	0.02724859562685976	DOWN	0.00153838877839034	2	0	2	1
DR1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.5988274544816832	0.18919860812542805	-3.165073255109225	0.00155043910664998	-0.9696499123326292	-0.22800499663073703	0.13792219834798716	65.9323119813186	3.1689314655426925e-14	97.12719705661983	-0.6081763902916336	0.02360162774321328	-25.768408726237816	2.004788238732166e-146	NA	NA	NA	NA	0.02743454663488658	DOWN	0.00155043910664998	4	0	4	1
XKRX	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.1358374719844316	0.04293679844431605	-3.163660936681079	0.001557981863506	-0.21999205054674648	-0.05168289342211674	0	1.016555758019218	0.7972460388881039	0	-0.1358374719844316	0.04293679844431605	-3.163660936681079	0.001557981863506	NA	NA	NA	NA	0.027512932468726835	DOWN	0.001557981863506	4	1	3	0.75
HIST1H2BE	2	A2780,PEO1	FALSE	-0.23631194353376744	0.07481854015461684	-3.158467714625482	0.00158600875669672	-0.3829535876126803	-0.08967029945485461	0.00313469897276495	1.3275976496851492	0.2492330484361126	24.675973911436294	-0.24530692405759347	0.06151004522684104	-3.988079071522927	6.661046382034282e-5	NA	NA	NA	NA	0.027924180071840554	DOWN	0.00158600875669672	2	0	2	1
SNORD26	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.9861528019345562	0.31277522226340676	-3.152912161002504	0.00161650440623196	-1.599180972827344	-0.3731246310417685	0	0.5446697040737283	0.460503866836568	0	-0.9861528019345562	0.31277522226340676	-3.152912161002504	0.00161650440623196	NA	NA	NA	NA	0.02840452126139399	DOWN	0.00161650440623196	2	0	2	1
H2AFV	2	A2780,PEO1	FALSE	-0.38115298922398866	0.12095229453152452	-3.15126712312718	0.00162563740220284	-0.6182151303532577	-0.14409084809471967	0.02745956788698855	15.740327355413037	7.265850292157622e-5	93.64689197740158	-0.2980692862090914	0.02076952513534288	-14.351280747477263	1.0458776938893101e-46	NA	NA	NA	NA	0.028536635907387888	DOWN	0.00162563740220284	2	0	2	1
SLC6A15	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-1.1237207440833403	0.35663966837254835	-3.150857416425964	0.00162791940513562	-1.8227216495518437	-0.4247198386148371	0.4932494764330821	82.21124715910757	1.0295552935051651e-17	97.60782917570434	-1.0782879777925507	0.04570317961119948	-23.59328140767515	4.517509395793531e-123	NA	NA	NA	NA	0.028548344568038047	DOWN	0.00162791940513562	4	0	4	1
USP3	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.4175521223271163	0.1325456553717048	-3.1502512938364737	0.00163130082151939	-0.6773368331629157	-0.15776741149131707	0.05873145535387122	28.488157365751803	2.868535336551462e-6	88.43900409036128	-0.48589591917675945	0.03722162571819938	-13.054129415394726	6.019419760023209e-39	NA	NA	NA	NA	0.028579291002971515	DOWN	0.00163130082151939	4	0	4	1
C9orf3	2	A2780,PEO1	FALSE	-0.6833018208465756	0.21749274786578696	-3.1417223220161605	0.00167957241268003	-1.1095797735621689	-0.2570238681309825	0.08507841248535375	9.389979855666883	0.00218174602757091	89.35034989029826	-0.536453144947748	0.04683606235644598	-11.453848123804043	2.2493354984137122e-30	NA	NA	NA	NA	0.029261676951008744	DOWN	0.00167957241268003	2	0	2	1
