gene_symbol	k	datasets	reml_warning	beta_meta	se_meta	z_meta	p_meta	ci_lb	ci_ub	tau2	Q	Q_pval	I2	beta_fixed	se_fixed	z_fixed	p_fixed	beta_meta_DL	se_meta_DL	p_meta_DL	tau2_DL	FDR_meta	direction	p_meta2	k_eff	n_pos	n_neg	concordance
CNP	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.456472755691698	0.10570015627980316	4.318562732143465	1.5704858501243254e-5	0.2493042562230286	0.6636412551603674	0.03472638294292873	22.394044062557192	5.40053132822219e-5	81.44788563661308	0.4651618287970528	0.04130858751235905	11.260656846663704	2.052233158847527e-29	NA	NA	NA	NA	5.218323002377387e-4	UP	1.5704858501243254e-5	4	4	0	1
TLE1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.450279255052735	0.10436338845336968	4.314532727671285	1.5994083946312212e-5	0.24573077237956703	0.6548277377259029	0.03708728307155354	32.92997085069405	3.332097170260015e-7	87.87483558445327	0.5945861329226356	0.027914393758623	21.3003419692381	1.1269543781857835e-100	NA	NA	NA	NA	5.304454445008649e-4	UP	1.5994083946312212e-5	4	4	0	1
RHNO1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.37687648470714546	0.08737880545487824	-4.313133862899529	1.609565949276723e-5	-0.5481357964108389	-0.20561717300345211	0.02382669887221241	12.689672140626447	0.0053581107346104	80.69783977101169	-0.3995657934146627	0.0345792560341653	-11.555072006751104	6.958913065261719e-31	NA	NA	NA	NA	5.328145559057048e-4	DOWN	1.609565949276723e-5	4	0	4	1
PTPRM	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.1905236389383624	0.2763240715466585	4.308432603336685	1.6441556070093933e-5	0.6489384106454428	1.732108867231282	0.2917980770575456	132.207634058766	1.8083971729630247e-28	96.80383619303656	1.5966558811165772	0.0377974732572563	42.242397269506725	0	NA	NA	NA	NA	5.432474516842065e-4	UP	1.6441556070093933e-5	4	4	0	1
SUMO3	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6842916931040847	0.15919902116756982	4.29834108328978	1.72081213437461e-5	0.37226734524161814	0.9963160409665512	0.09573805777882156	92.20645064439655	7.354955492246379e-20	95.79300297689464	0.9297508190164576	0.02408814020742653	38.597866460849026	0	NA	NA	NA	NA	5.643561428448975e-4	UP	1.72081213437461e-5	4	4	0	1
ANAPC2	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.025255987279862	0.23904495367602785	4.28896729051795	1.7950580375123864e-5	0.5567364873888018	1.493775487170922	0.1945689277349119	41.308910781491555	5.623434582014171e-9	92.08782987656596	0.9877911031166876	0.05712226572605169	17.292575680627927	5.350709566854007e-67	NA	NA	NA	NA	5.854472496145103e-4	UP	1.7950580375123864e-5	4	4	0	1
MRPL10	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.4970463421301918	0.1160563764558463	4.282800801723233	1.8455538393927272e-5	0.2695800241005108	0.7245126601598728	0.04321905019285566	22.608398564416607	4.872989919888711e-5	83.49610645233575	0.663327941492007	0.03266309342568804	20.30817880128677	1.0886682069355088e-91	NA	NA	NA	NA	5.986028480540411e-4	UP	1.8455538393927272e-5	4	4	0	1
JUN	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.7455550883265332	0.17449337238598084	4.272684275236305	1.931338279527753e-5	0.4035543629090747	1.0875558137439916	0.10666997054612672	23.304762072362337	3.488664623425979e-5	89.0257292431515	0.8139668780088843	0.05117194887734428	15.906505338694608	5.711380383448353e-57	NA	NA	NA	NA	6.229975687447462e-4	UP	1.931338279527753e-5	4	4	0	1
STK26	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.8579216450696654	0.2011097373383004	-4.265937872647593	1.9906417407059155e-5	-1.2520894871930444	-0.4637538029462865	0.11293975754991284	28.90134410793976	5.298499127632174e-7	93.27620121074064	-0.7996798296506848	0.05069306178201226	-15.774936481237368	4.628635263609189e-56	NA	NA	NA	NA	6.409576329773856e-4	DOWN	1.9906417407059155e-5	3	0	3	1
BAP1	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.5513994684109016	0.129338701968229	4.26322098505634	2.015010635194438e-5	0.297900270746013	0.8048986660757902	0.05558465280134465	21.6416731831231	7.744396812939639e-5	86.29528672822369	0.506899008716399	0.04404164551954678	11.50953836389752	1.181089321248652e-30	NA	NA	NA	NA	6.476244181514923e-4	UP	2.015010635194438e-5	4	4	0	1
LOC105373159	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.8859149890969753	0.20916017350098529	-4.235581632335958	2.2796086683818567e-5	-1.2958613961590553	-0.4759685820348952	0.07033502140163203	5.09751356732399	0.02396016556831964	80.38259267400119	-0.8919636136665251	0.09258260464588708	-9.634246272052252	5.731103856615154e-22	NA	NA	NA	NA	7.300116382425014e-4	DOWN	2.2796086683818567e-5	2	0	2	1
H2BC12	2	UWB_BRCAdef,UWB_BRCAprof	FALSE	1.243084288832602	0.2939173872891108	4.229366286554005	2.343505181245661e-5	0.6670167953158341	1.8191517823493697	0.1573760312005797	11.21673672867274	8.106291165087316e-4	91.08475108055488	1.2270641358829293	0.0876030528293994	14.00709331754166	1.4106121563474578e-44	NA	NA	NA	NA	7.491164753866103e-4	UP	2.343505181245661e-5	2	2	0	1
ATP1B3	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	-0.32059044725040586	0.07598399746913134	-4.219183748270765	2.4518838721012795e-5	-0.46951634569128586	-0.17166454880952584	0.01665386968140858	10.357367302373284	0.01576033906615789	77.75642993618503	-0.33415362812816096	0.02298834953615469	-14.535781596787723	7.188829549247085e-48	NA	NA	NA	NA	7.809360577862039e-4	DOWN	2.4518838721012795e-5	4	0	4	1
CENPX	3	A2780,UWB_BRCAdef,UWB_BRCAprof	FALSE	1.0531450134951237	0.2511662963255322	4.193018844097462	2.7526656740130377e-5	0.5608681185667657	1.5454219084234817	0.1535205370860231	11.178654068287525	0.00373754225686825	82.37702839165564	0.9044314022166748	0.08628802366726421	10.481540354942634	1.0501912946888586e-25	NA	NA	NA	NA	8.704628107250173e-4	UP	2.7526656740130377e-5	3	3	0	1
PLIN3	4	A2780,PEO1,UWB_BRCAdef,UWB_BRCAprof	FALSE	0.6260820838344427	0.14950246654626392	4.187770933135074	2.817076294812584e-5	0.3330626338038612	0.9191015338650244	0.07428814554782591	23.611198489974132	3.0111927410738825e-5	85.93019120290562	0.8099096231588042	0.04617686689733143	17.539293537596183	7.181460449332227e-69	NA	NA	NA	NA	8.892403154178938e-4	UP	2.817076294812584e-5	4	4	0	1
